Metric,Algorithm,Mean,Total_SD,Within_SD,Between_SD,ICC
hypervolume,NSGA-II,0.3618327032620001,0.01879154935943124,0.01230976522604269,0.015391693868461804,0.6708843417891117
hypervolume,NSGA-III,0.36224940788129123,0.016304653316968645,0.010246450565574385,0.013690731995493543,0.7050666942831114
hypervolume,SPEA2,0.3624874074192895,0.01860447313657263,0.015107449050517844,0.012349252849642589,0.44060215235991307
hypervolume,ε-MOEA,0.3530146732473399,0.021574539763160393,0.019907753793957643,0.010755844061280023,0.24854550570759418
spacing,NSGA-II,0.45921572680590195,0.3672158061767294,0.3087643957317309,0.2302102106011956,0.39301256145963587
spacing,NSGA-III,0.4193101320205419,0.28473850122207145,0.24238869976925317,0.17444579017615072,0.3753432387639693
spacing,SPEA2,0.5183453508315107,0.34108553889011095,0.29227283250620306,0.2062762000395443,0.36573930136264704
spacing,ε-MOEA,0.6706804127913135,0.3891986273061857,0.391668432942285,0.11497376780490413,0.08726798092005306
diversity,NSGA-II,1.3606219979084253,0.5424065655198893,0.33391457275759523,0.4605718496077487,0.7210160041499227
diversity,NSGA-III,1.319736429802867,0.513831733184461,0.2921830374133964,0.4528293582332792,0.7766535067931543
diversity,SPEA2,1.554922164469865,0.6150262249636055,0.4009311650846341,0.5053089985307601,0.6750357832021231
diversity,ε-MOEA,1.845618358330726,0.6905000073474243,0.5307584300659045,0.49271165510412757,0.5091647111262443
convergence,NSGA-II,0.6928048367937883,0.3857896313165787,0.20425876099803544,0.34927834480549647,0.8196759983308534
convergence,NSGA-III,0.6549984990895094,0.3397384914635443,0.17089127060775977,0.3126669801405045,0.8469826810096311
convergence,SPEA2,1.0650649763689415,0.5719433108492846,0.1874187456306801,0.5698291671141343,0.9926208198903556
convergence,ε-MOEA,0.9398436372487583,0.5142409833991126,0.26096575423630963,0.47200110489689434,0.8424665364999383
execution_time,NSGA-II,31.079333412647248,108.77174104063077,105.42147586035696,43.59739947904247,0.1606530628880451
execution_time,NSGA-III,30.430683779716492,106.87853442945291,95.15280672905969,59.25594152107225,0.30738511013093583
execution_time,SPEA2,14.295685436725616,33.68571547373381,33.45372536595831,11.359948451208796,0.11372636788896187
execution_time,ε-MOEA,157.01701359272002,234.75924166237306,191.56121568588347,154.68481614375776,0.4341601663935231
